LITMUN,CUDIS,ALQTBID12_M_VC_22,ALQTBID12_M_VU_22
Valencia,"{'name': 'CIUTAT VELLA', 'district': 1}",680.0,550.0
Valencia,"{'name': ""L'EIXAMPLE"", 'district': 2}",700.0,
Valencia,"{'name': 'EXTRAMURS', 'district': 3}",630.0,
Valencia,"{'name': 'CAMPANAR', 'district': 4}",637.5,745.8333333333334
Valencia,"{'name': 'LA SAÏDIA', 'district': 5}",550.0,
Valencia,"{'name': 'EL PLA DEL REAL', 'district': 6}",730.0,
Valencia,"{'name': ""L'OLIVERETA"", 'district': 7}",500.0,597.3187499999999
Valencia,"{'name': 'PATRAIX', 'district': 8}",540.0,
Valencia,"{'name': 'JESÚS', 'district': 9}",510.0,400.0
Valencia,"{'name': 'QUATRE CARRERES', 'district': 10}",575.0,555.0
Valencia,"{'name': 'POBLATS MARÍTIMS', 'district': 11}",550.0,538.3333333333334
Valencia,"{'name': 'CAMINS AL GRAU', 'district': 12}",618.5440632192926,596.4052287581699
Valencia,"{'name': 'ALGIRÓS', 'district': 13}",679.4483568075117,
Valencia,"{'name': 'BENIMACLET', 'district': 14}",602.3333333333334,524.4791666666667
Valencia,"{'name': 'RASCANYA', 'district': 15}",500.0,500.0
Valencia,"{'name': 'BENICALAP', 'district': 16}",506.566127694859,529.1666666666667
Valencia,"{'name': 'POBLES DEL NORD', 'district': 17}",450.0,804.1666666666666
Valencia,"{'name': ""POBLES DE L'OEST"", 'district': 18}",450.0,498.8636363636364
Valencia,"{'name': 'POBLES DEL SUD', 'district': 19}",450.0,600.0
